90.91,3.49,235.80

89.92,-1.46,237.82

86.00,3.49,241.86

87.96,1.51,239.84

86.98,1.51,237.82

88.94,0.52,236.81

87.96,2.50,237.82

88.94,0.52,239.84

87.96,3.49,238.83

86.98,-1.46,236.81

86.00,1.51,244.89

86.98,4.48,236.81

87.96,-0.47,242.87

90.91,6.47,240.85

90.91,-1.46,228.73

84.04,-2.45,241.86

83.06,6.47,242.87

84.04,-1.46,235.80

85.02,-1.46,236.81

86.98,7.46,244.89

90.91,1.51,235.80

90.91,-0.47,236.81

87.96,4.48,240.85

86.00,0.52,236.81

83.06,-0.47,238.83

85.02,-0.47,236.81

86.00,2.50,241.86

88.94,3.49,237.82

88.94,1.51,238.83

90.91,0.52,234.79

88.94,-0.47,239.84

84.04,2.50,241.86

84.04,-0.47,237.82

85.02,1.51,240.85

88.94,2.50,240.85

90.91,-1.46,233.78

89.92,-0.47,236.81

87.96,5.48,240.85

86.00,0.52,239.84

82.08,3.49,240.85

86.98,-2.45,235.80

86.98,3.49,244.89

92.87,3.49,235.80

89.92,1.51,239.84

86.98,4.48,241.86

84.04,1.51,240.85

82.08,-3.44,235.80

87.96,-1.46,238.83

89.92,7.46,240.85

90.91,1.51,234.79

88.94,4.48,241.86

88.94,3.49,238.83

84.04,-3.44,239.84

85.02,-1.46,238.83

87.96,4.48,241.86

89.92,4.48,240.85

87.96,2.50,237.82

86.98,2.50,240.85

85.02,-1.46,237.82

88.94,1.51,238.83

86.98,3.49,239.84

86.00,0.52,237.82

84.04,4.48,240.85

86.98,1.51,238.83

86.98,1.51,238.83

89.92,1.51,238.83

86.98,0.52,239.84

87.96,1.51,239.84

86.00,0.52,237.82

88.94,3.49,237.82

87.96,-0.47,237.82

87.96,1.51,236.81

87.96,2.50,239.84

86.00,2.50,240.85

86.98,1.51,239.84

84.04,5.48,240.85

88.94,3.49,240.85

91.89,2.50,237.82

89.92,1.51,234.79

86.98,-1.46,240.85

85.02,1.51,239.84

84.04,-1.46,238.83

86.00,2.50,242.87

88.94,4.48,239.84

90.91,-0.47,235.80

87.96,1.51,237.82

86.98,1.51,239.84

84.04,3.49,239.84

84.04,0.52,238.83

84.04,2.50,241.86

86.98,-0.47,235.80

87.96,1.51,237.82

87.96,3.49,239.84

89.92,2.50,240.85

87.96,0.52,238.83

83.06,2.50,241.86

86.00,1.51,238.83

86.98,0.52,237.82

86.98,1.51,236.81

87.96,1.51,240.85

88.94,3.49,239.84

89.92,-0.47,237.82

84.04,0.52,238.83

86.00,-0.47,239.84

86.00,2.50,239.84

90.91,1.51,235.80

86.98,6.47,239.84

89.92,0.52,237.82

86.98,0.52,237.82

86.98,0.52,237.82

84.04,0.52,243.88

86.98,3.49,238.83

87.96,-1.46,236.81

87.96,2.50,240.85

88.94,4.48,237.82

86.00,-2.45,236.81

84.04,3.49,243.88

86.00,1.51,236.81

84.04,-3.44,236.81

87.96,3.49,238.83

89.92,4.48,243.88

89.92,2.50,236.81

87.96,-0.47,237.82

86.00,0.52,238.83

86.00,-0.47,240.85

86.00,3.49,239.84

86.98,4.48,240.85

87.96,0.52,237.82

87.96,2.50,236.81

87.96,1.51,239.84

86.98,6.47,239.84

87.96,-1.46,238.83

84.04,3.49,240.85

86.98,-4.43,235.80

86.98,-0.47,239.84

87.96,4.48,238.83

87.96,4.48,238.83

85.02,3.49,237.82

86.00,1.51,242.87

86.98,0.52,236.81

87.96,1.51,237.82

88.94,1.51,238.83

86.98,4.48,241.86

86.98,1.51,236.81

86.98,-0.47,237.82

86.00,2.50,240.85

85.02,1.51,239.84

86.98,0.52,239.84

88.94,3.49,239.84

88.94,0.52,237.82

86.98,2.50,236.81

86.00,2.50,238.83

86.00,2.50,239.84

86.00,0.52,238.83

86.98,0.52,237.82

86.98,-5.42,232.77

88.94,-11.36,225.70

117.38,8.45,208.53

75.22,20.33,272.16

96.79,-5.42,245.90

84.04,23.30,250.95

68.36,16.37,250.95

58.55,7.46,250.95

45.81,1.51,243.88

35.02,-12.35,243.88

20.32,3.49,257.01

29.14,-12.35,246.91

35.02,-16.31,248.93

36.98,0.52,256.00

37.96,2.50,258.02

39.93,6.47,252.97

30.12,-1.46,258.02

33.06,3.49,245.90

28.16,5.48,251.96

26.20,1.51,249.94

22.28,7.46,259.03

28.16,4.48,253.98

28.16,3.49,252.97

26.20,7.46,250.95

24.24,-0.47,248.93

26.20,4.48,256.00

34.04,4.48,247.92

30.12,7.46,250.95

25.22,3.49,253.98

19.34,1.51,254.99

27.18,-1.46,247.92

28.16,7.46,257.01

31.10,8.45,251.96

29.14,-0.47,251.96

28.16,7.46,252.97

28.16,4.48,253.98

27.18,0.52,254.99

26.20,8.45,253.98

29.14,1.51,251.96

27.18,5.48,253.98

30.12,3.49,250.95

29.14,8.45,254.99

26.20,1.51,252.97

22.28,5.48,252.97

30.12,3.49,251.96

30.12,3.49,248.93

29.14,6.47,249.94

25.22,5.48,256.00

27.18,6.47,254.99

30.12,3.49,250.95

29.14,4.48,249.94

30.12,5.48,250.95

28.16,5.48,253.98

